,cross section [fb],unselected,e2e2_tight_2,e2e2_tight_1,e2e2_loose,inv_tight,aZ_tight_against_Z,aZ_tight_against_nothing,aZ_tight_between,bb_tight,bb,cc_tight,isolep1,isolep2,isolep_many,aa_tight,aa,isophoton1,isophoton_many,tau,light_quark_few_hadrons,light_quark_many_hadrons,light_quark_intermediate_hadrons,few_hadrons,many_hadrons,rest
P2f_z_l,21214.001,9989980,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0
P4f_sw_l,3421.9693,4990578,0,0,0,348,1,91,5,0,0,0,4,0,0,0,0,294,39,3,217,0,4,73,0,3
P4f_sw_sl,10264.016,4975067,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,7,0,6,4,0,9
P4f_sze_l,5774.7395,4990597,0,0,0,138,16,83,35,0,6,3,110,72,0,3,4,217,53,78,100,0,1,137,0,7
P4f_szeorsw_l,984.31247,4976289,0,0,0,5057,0,1639,50,0,9,0,45,1,0,0,0,3764,628,3,3059,0,24,1033,0,59
P4f_sznu_l,195.12634,998999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4f_ww_l,1563.418,4995000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4f_zz_l,88.95738,499499,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4f_zz_sl,838.07949,4189347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
P4f_zzorww_l,1637.0568,4994976,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,5,1,0,3,0,0,2,0,0
Pe1e1h_aa,0.0401142846,71657,0,0,0,3,36,36,265,0,1,0,535,3,0,11926,5233,602,9436,0,6,0,0,10,0,1
Pe1e1h_az,0.0270373812,71792,0,0,0,35,13616,4194,1771,117,67,13,360,255,6,0,1,4607,1770,12,191,2,157,223,13,298
Pe1e1h_bb,10.2848078,70688,0,0,0,0,1033,282,928,10869,4431,16,86,0,0,0,0,5732,485,0,20,5,38,864,267,3756
Pe1e1h_cc,0.51070609,70495,0,0,0,0,1318,218,838,31,750,3305,34,1,0,0,0,5762,502,0,567,65,1617,2666,647,10684
Pe1e1h_e2e2,0.00385238504,88862,0,0,0,0,847,70,273,0,0,0,414,9357,2,1,0,0,0,0,2,0,0,5,0,0
Pe1e1h_e3e3,1.10800249,72358,0,0,0,4,187,1482,1332,29,508,117,3555,143,0,10,19,4965,610,5300,1446,0,3,8583,1,179
Pe1e1h_gg,1.44729511,70691,0,0,0,0,1260,144,717,333,657,89,40,0,0,0,0,5563,464,0,156,2329,7605,84,3214,5959
Pe1e1h_inv,0.0,3131,0,0,0,556,0,128,0,0,0,0,1,0,0,0,0,271,18,0,301,0,3,97,0,2
Pe1e1h_ww,3.78169907,74604,0,0,0,0,781,662,894,14,310,175,6275,692,4,0,0,3738,317,38,639,328,3186,1450,988,5650
Pe1e1h_zz,0.462993064,72302,0,0,3,519,783,848,753,1948,1458,258,818,1797,49,0,0,5088,459,36,2036,224,2882,2125,919,5442
Pqqh_zz,8.98739203,496627,0,0,0,0,30,8,22,56,63,9,25,30,0,0,0,194,25,0,22,6,126,21,40,203
