,cross section [fb],unselected,cc,bb_tight,bb,e2e2,aZ,aa,tau,light_quark,light_quark2,isolep1,isolep2,isolep_many,isophoton1,isophoton_many,rest
P4f_sw_l,63.483169,139990,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
P4f_sw_sl,190.63749,199004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4f_sze_l,5629.24,4991478,1,0,2,0,4,8,57,5,4,37,41,0,10,5,7
P4f_szeorsw_l,47.907685,49912,0,0,1,0,0,0,61,11,6,0,0,0,7,0,2
Pe1e1h_aa,0.00141531195,94754,0,0,0,0,5,3072,282,1,2,120,1,0,121,1391,1
Pe1e1h_az,0.000953932723,94679,6,24,10,0,1919,1,774,69,24,108,117,3,1404,573,39
Pe1e1h_bb,0.362868526,94270,20,2280,722,0,162,0,0,53,11,17,0,0,1214,125,626
Pe1e1h_cc,0.0180187292,94252,1439,11,155,0,181,0,0,437,458,7,0,0,1231,142,1187
Pe1e1h_e2e2,0.000135919826,97952,0,0,0,0,94,0,0,0,0,79,1707,1,0,0,0
Pe1e1h_e3e3,0.0390925371,95707,70,12,167,0,33,7,2150,203,145,757,35,0,620,93,832
Pe1e1h_gg,0.0510634575,94345,178,90,139,0,189,0,0,1816,756,5,0,0,1159,123,700
Pe1e1h_ww,0.133425884,95761,184,6,79,0,103,0,38,725,634,1291,140,0,792,93,648
Pe1e1h_zz,0.0163353185,95674,189,426,281,0,114,0,193,946,424,173,352,11,1068,124,772
